Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
TestMetal,https://www.crunchbase.com/organization/testmetal,Series A,690000,7/10/15
WinApp Inc,https://www.crunchbase.com/organization/winapp-inc,Seed,2000000,10/30/15
Cambly,https://www.crunchbase.com/organization/cambly,Seed,7000000,9/1/16
Goboxi,https://www.crunchbase.com/organization/goboxi,Seed,3000000,12/6/13
KaChing!,https://www.crunchbase.com/organization/kaching-coupons,Seed,30000000,2/24/17
Antag Therapeutics,https://www.crunchbase.com/organization/antag-therapeutics,Seed,20000000,7/3/17
Royole Corporation,https://www.crunchbase.com/organization/royole-corporation,Series D,400000000,5/10/17
Vinci,https://www.crunchbase.com/organization/vinci-2,Series A,35000000,9/1/16
SV Insight,https://www.crunchbase.com/organization/sv-insight,Seed,10000000,3/15/17
import.io,https://www.crunchbase.com/organization/importio,Seed,600000,3/22/13
Waveblade,https://www.crunchbase.com/organization/wavecraft,Seed,550000,9/10/12
Makelight Interactive,https://www.crunchbase.com/organization/makelight-interactive,Seed,50000,7/1/12
The Printers Inc,https://www.crunchbase.com/organization/the-printers-inc,Seed,40000,12/31/12
Inivata,https://www.crunchbase.com/organization/inivata,Series A,4000000,9/23/14
Now Healthcare Group,https://www.crunchbase.com/organization/now-healthcare-group,Series A,4000000,6/19/17
"Oncorus, Inc.",https://www.crunchbase.com/organization/oncorus-inc,Series A,4000000,12/16/16
Inivata,https://www.crunchbase.com/organization/inivata,Series A,31500000,1/26/16
ThinkLab,https://www.crunchbase.com/organization/thinklab,Seed,30000,10/2/15
yourClass Education,https://www.crunchbase.com/organization/yourclass-education-inc,Seed,30000,10/7/15
MathChat,https://www.crunchbase.com/organization/mathchat,Seed,280000,2/5/14
Lifebox,https://www.crunchbase.com/organization/lifebox-2,Seed,28000,12/9/14
MathChat,https://www.crunchbase.com/organization/mathchat,Seed,27500,9/25/12
Velocity,https://www.crunchbase.com/organization/velocity-2,Seed,250000,4/1/14
Stamplay,https://www.crunchbase.com/organization/stamplay,Series A,246813,9/11/16
Axol Bioscience Ltd.,https://www.crunchbase.com/organization/axol-bioscience-ltd,Seed,2500000,8/16/17
WISHI,https://www.crunchbase.com/organization/wishi,Seed,181932,1/6/16
Lifebox,https://www.crunchbase.com/organization/lifebox-2,Seed,156141,5/15/15
Aseptium,https://www.crunchbase.com/organization/aseptium,Seed,155913,7/29/16
Inflyte,https://www.crunchbase.com/organization/inflyte,Seed,150000,9/30/14
"ClearChat, Inc.",https://www.crunchbase.com/organization/clearchat-inc,Seed,15000,3/10/17
Spherical Defence Labs,https://www.crunchbase.com/organization/spherical-defence-labs,Seed,15000,3/10/17
TreePress,https://www.crunchbase.com/organization/treepress,Seed,15000,9/1/14
Tweepforce,https://www.crunchbase.com/organization/tweepforce,Seed,120000,9/9/16
Peeple,https://www.crunchbase.com/organization/peeple,Seed,100000,6/16/15
Run3D,https://www.crunchbase.com/organization/run3d,Seed,100000,12/18/12
Greater Good Apps,https://www.crunchbase.com/organization/greater-good-apps,Seed,10800,10/11/14
PetaGene,https://www.crunchbase.com/organization/petagene,Seed,10000,9/8/16
Senta,https://www.crunchbase.com/organization/senta,Seed,10000,2/27/16
Fuel3D,https://www.crunchbase.com/organization/fuel3d,Series A,1600000,2/13/14
Telefonkilifim,https://www.crunchbase.com/organization/telefonkilifim,Series A,200000,5/6/13
PipeCandy,https://www.crunchbase.com/organization/pipecandy,Seed,73000000,3/8/17
Epignosis eLearning solutions,https://www.crunchbase.com/organization/epignosis,Seed,800000,5/31/12
Bilendo,https://www.crunchbase.com/organization/bilendo,Series A,700000,4/28/16
CountBOX,https://www.crunchbase.com/organization/countbox,Seed,700000,6/21/16
Trustribe,https://www.crunchbase.com/organization/trustribe,Seed,70000,9/1/13
Mindesk,https://www.crunchbase.com/organization/mindesk,Seed,670000,5/2/17
WorkCompass,https://www.crunchbase.com/organization/workcompass,Seed,650000,11/28/14
Watchity,https://www.crunchbase.com/organization/watchity,Seed,600000,6/21/17
Locish,https://www.crunchbase.com/organization/locish,Seed,60000,3/3/13
