Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Wokrr,https://www.crunchbase.com/organization/wokrr,,"San Jose, California, United States","Wokrr is based in San Jose, California, United States.",,1/1/16,,1,1/1/00,1111,Seed,1111,Closed
BUILT IMAGES,https://www.crunchbase.com/organization/hometica,"Media and Entertainment, Real Estate, Content and Publishing","San Clemente, California, United States",BUILT IMAGES stretches the imagination with Rights Managed & Royalty-Free Home and Architecture stock imagery.,,1/1/12,,1,2/14/04,250000,Seed,250000,Operating
Dick or Bro,https://www.crunchbase.com/organization/dick-or-bro,"Media and Entertainment, Internet Services","Los Angeles, California, United States",celebrity voting,"54,374",1/1/12,,1,1/1/11,150000,Seed,150000,Closed
StoryWorth,https://www.crunchbase.com/organization/storyworth,Internet Services,"San Francisco, California, United States",StoryWorth makes it easy for people to privately record their family stories.,"41,889",11/1/12,,1,3/1/11,167000,Seed,167000,Operating
Ethonova,https://www.crunchbase.com/organization/ethonova,,"San Francisco, California, United States","Ethonova Inc is a corporation located in San Francisco, California. Charitable donations to this organization are deductible. The Ethonova","57,167",1/1/12,,1,7/20/11,40000,Seed,40000,Operating
Harbor BioSciences,https://www.crunchbase.com/organization/harbor-biosciences,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",Harbor Therapeuticsξdevelops a proprietary class of adrenal steroid hormones as novel pharmaceuticals and nutraceuticals for human health.,"34,813",1/1/12,,1,8/12/11,2825000,Seed,2825000,Operating
Appsembler,https://www.crunchbase.com/organization/appsembler,"Software, Education","Somerville, Massachusetts, United States","Appsembler helps trainers and educators deliver better online learning experiences with one, easy-to-use platform.","25,986",1/1/12,,1,1/1/12,118000,Seed,118000,Operating
Autocosta,https://www.crunchbase.com/organization/autocosta,Transportation,"Los Angeles, California, United States",Autocosta is a web portal of cost-to-own reports created to educate and empower car shoppers to make better decisions.,"44,795",4/1/12,,1,1/1/12,1100000,Seed,1100000,Operating
Baboo,https://www.crunchbase.com/organization/baboo,"Data and Analytics, Software, Design","Los Angeles, California, United States",Baboo is focused on serving entertainment and associated consumer product brands.,"50,623",1/1/12,,1,1/1/12,250000,Seed,250000,Operating
BindHQ,https://www.crunchbase.com/organization/bindhq,"Software, Internet Services, Financial Services","Tustin, California, United States",Cloud based agency management & CRM tool,"41,280",1/1/12,,1,1/1/12,500000,Seed,500000,Operating
